"Titolo_Nodo_Domanda","Capitolo_Associato"
"Come è possibile non solo resistere, ma generare qualcosa di radicalmente nuovo?","Manifesto per un Pianeta Infetto – La Praxis del Compost"
"Come si può coltivare un'alternativa in un pianeta infetto?","Manifesto per un Pianeta Infetto – La Praxis del Compost"
"Ad esempio, anche nella realizzazione di un prodotto scultoreo, è possibile considerare il solo apporto umano come valido per la creazione empirica del prodotto? Gli strumenti utilizzati non concorrono, insieme alla ratio umana che li governa, alla creazione del progetto? Le influenze estetiche/concettuali dalle quali nasce il progetto non ne fanno parte? È possibile uscire definitivamente da una dinamica di rappresentazionalista entro la quale gli oggetti e gli strumenti non hanno un’agency e non concorrono alla concretizzazione materiale di un pensiero?","L'anti-rappresentazione"
"Ma quali strumenti creano la misurazione delle pratiche artistiche? Nel caso della particella è chiaro dalla distinzione netta delle funzioni dell’apparecchio di misurazione, ma nel caso di un progetto artistico rimane applicabile questa nozione? Gli eventuali dati ""freddi"" raccolti, ad esempio attraverso diversi sensori, offriranno una condizione complementare alla lettura poetica del fenomeno performativo o avvalleranno il comparto poetico/emotivo?","L'anti-rappresentazione"
"Infondo, le politiche democratiche non dovrebbero rappresentare quello che è lo status sociale della popolazione?","L'indeterminazione"
"È possibile allora lesionare questa stasi accogliendo la contaminazione e l'ascolto per trasformare il vuoto indeterminato in una potentia affermativa che ricostruisca il collettivo?","L'indeterminazione"
"Quali sono le soggettività e le pratiche discorsive che ne determinano l’utilizzo? È parte di una spinta evolutiva? Rischia di appiattire il raziocinio umano attraverso la sostituzione lavorativa, sia manuale che intellettuale? È uno strumento per la ricerca di soluzioni o è la soluzione? In che modo e quanto dovremmo investire sull’innovazione tecnologica? Può essere parte dei fenomeni performativi anti-rappresentativi, concorrendo alla formazione della materialità delle pratiche?","L'indeterminazione"
"L’intra-azione come può rimodellare le pratiche artistiche? Riformare il rapporto inter-(s)oggettivo che intratteniamo con gli altri attori coinvolti, in che modo trasformerà le pratiche? Può l’ontologia dell’entanglement rimodellare l’epistemologia con cui approcciamo all’arte? Se sì, che iter dovrebbe seguire questa trasformazione? In che dimensione etica dovremmo canalizzare questa trasformazione?","L'entanglement e l'intra-azione"
"Macro e micro sono dimensioni ontologiche separate? Essendo una invisibile all’altra, possiamo separarle ontologicamente? O bisogna tenere sempre conto della loro profonda connessione?","Macro e micro- l’intra-azione nel locale"
"Come è possibile sfruttare al meglio questa eventuale consapevolezza di mutua costituzione?","Macro e micro- l’intra-azione nel locale"
"Partendo da questa consapevolezza, possiamo definire che le attività quotidiane diventano così luoghi di negoziazione sovra-locali?","Macro e micro- l’intra-azione nel locale"
"Porre scissioni che agevolino l’analisi delle dimensioni può generare confusione ontologica ed epistemologica? Come possiamo costruire una intra-azione che possa trasformare attivamente la contemporaneità partendo dal locale?","Macro e micro- l’intra-azione nel locale"
"Un lavoro collettivo nel locale può effettivamente modellare la quotidianità nonostante questa collettività non possa essere utopicamente omnicomprensiva? A fronte delle analisi fatte, l'intra-azione locale è effettivamente la dimensione della possibilità trasformativa della politica?","Macro e micro- l’intra-azione nel locale"
"È uno strumento di resistenza a quelle forze che pretendono che il mondo, guardando al passato, appaia statico piuttosto che con un occhio che cerca una trasformazione futura?","Macro e micro- l’intra-azione nel locale"
"Ma che strade tracciare localmente? Quali sono i possibili spazi dove il potenziale del vuoto presente può generare una scintilla di energia che ci proietti in un futuro più consapevole?","Macro e micro- l’intra-azione nel locale"
"La temporalità è l’unità di misura che governa l’universo, compresa la dimensione spaziale; ma questa temporalità è effettivamente universalmente riconosciuta?","Gli echi della performatività"
"Come agiamo individualmente sullo spazio nella temporalità che ci è stata assegnata e che misura quotidianamente il nostro intra-agire? Come dovremmo interpretare queste misurazioni invisibili? Anche la temporalità nel suo andamento inerziale è parte del fenomeno, o crediamo che la nostra performatività sia extra-temporale? Il fenomeno descrive il momento dell’idea emotiva o la temporalità procedurale nella quale si inscrive? Ha effettivamente un impatto sulla nostra fisicità spaziale? Impone un cambiamento iterativo lineare continuo, o è priva di una direzionalità evolutiva?","Gli echi della performatività"
"Possiamo dunque dire che la temporalità va intesa non come lineare o progressiva, ma che è composta, stratificata, rigenerativa ed in divenire? Possiamo vedere la temporalità come un processo di decomposizione e ricomposizione in cui le tracce del passato fertilizzano il presente? Possiamo dire che non vi sono gerarchie temporali? Che queste temporalità (s)oggettive co-esistono, si intrecciano e collassano le une nelle altre in modalità non lineari? Queste visioni ""compostiche"" aprono effettivamente a nuove strade per pratiche politiche ed epistemologiche che accettano la complessità e la co-presenza di molteplici tempi?","Gli echi della performatività"
"Cos’è quindi la materia? Come manifestiamo queste trasformazioni? Sono per lo più implicite o osserviamo con occhi poco attenti le esplicitazioni in atto? È un’intensa rete di connessioni strutturate e gerarchiche, o ogni (s)oggetto coinvolto concorre alla sua formazione in modo paritetico?","Diventare Materia"
"L’agency generata è intrinseca alla materia stessa o è inscritta dai (s)oggetti che l’hanno generata? Analizzandola dal punto di vista scultoreo, potrebbe sembrare che determinate tipologie di materiale abbiano una parte di agency precostituita – ad esempio il marmo o le fusioni di metalli “di pregio” –, ma queste pre-costituzioni di agency sono effettivamente tali per il materiale in sé, o derivano dalle intra-azioni che storicamente le hanno plasmate?","Diventare Materia"
"Come intendere la materia dopo le digressioni precedenti? È viva e mutevole, o fissa e precostituita nella sua composizione chimica?","Diventare Materia"
"Come inseriamo questa ontologia della materia nell’ambiente artistico/creativo? Che valore assume la materia una volta inscritta in queste dinamiche?","Diventare Materia"
"Siamo veramente soddisfatti quando osserviamo la contemporaneità in termini sociali, politici o artistici? Possiamo, attraverso le nostre azioni nel locale, trasformare le nostre consapevolezze sulla materialità?","Diventare Materia"
"Ma da dove dovremmo cominciare per mettere in moto il cambiamento che possa riconcettualizzare la materia su scala globale?","Diventare Materia"
"Produrre per un senso di necessità personale ha ancora validità, o dovremmo concentrarci sulla necessità delle masse? Argomentare attraverso la materialità questioni principalmente didascaliche, estranee alle necessità sociali, può ancora avere una valenza estetica/concettuale?","Diventare Materia"
"Le pratiche curatoriali, ad esempio, in quale spazio rientrano nella produzione della materialità intra-attiva?","Diventare Materia"
"Quando la tecnologia viene utilizzata per opprimere, controllare o uccidere, come dovremmo porci nei suoi confronti?","Materialità Digitale"
"Il problema è la tecnologia o la mano che la governa?","Materialità Digitale"
"Come dovrebbe porsi l’umano con l’artificiale? È corretto lo sfruttamento incondizionato delle macchine? La sensazione di empatia che proviamo verso le prime forme robotiche è dovuta all’estetica antropomorfa che gli abbiamo assegnato, o è una forma più profonda d’intelligenza emotiva? Quando assume forme cupe e ambigue, come le moderne bambole del sesso “RealDoll”, possiamo basarci sull’etica presistente per capire come rapportarci a queste ultime?","Materialità Digitale"
"Cosa definisce la soggettività umana?","Materialità Digitale"
"Cosa ci rende davvero umani? L’intelligenza emotiva non appartiene solo all’umano: empatia ed emotività non sono caratteristiche distintive. Cosa significa essere umani? È una domanda che dovrebbe elevarci a qualcosa di superiore rispetto all’alterità, o possiamo trovare una risposta che non comporti un innalzamento rispetto al resto del mondo?","Materialità Digitale"
"E la tecnologia, le macchine, le intelligenze artificiali: in quale spettro della realtà rientrano? Soggetto-oggetto-discorsività: che forma assume quando l’oggetto è la tecnologia?","Materialità Digitale"
"La tecnologia ci aiuta a produrre nuova materialità: questo è un dato oggettivo. Ma ne siamo veramente consapevoli?","Materialità Digitale"
"Dovremmo provare a trovare una definizione per questa sperimentazione? O ha forme troppo acerbe per una definizione capace di accogliere la proceduralità performativa nelle trasformazioni temporali?","Materialità Digitale"
"Come possiamo però esplicitare tutto ciò che rimane implicito in una materialità meno tattile rispetto ad altri tipi di performatività?","Materialità Digitale"
"Abbiamo analizzato la comparizione della generazione visiva attraverso la sensoristica precitata, ma quando questa genera sonorità oltre che feedback video, come la inseriamo nelle analisi pregresse?","Materialità Digitale"
"È parte integrante delle riconfigurazioni sociali che dovremmo alimentare con l’alterità? Può entrare nella definizione di “minoranza” in funzione di una riscrittura del rapporto con l’agency prodotta dal non umano? Che forma dovremmo dare a questo rapporto?","Essere Minoranza"
"Che tipo di differenze possono ampliare la potenzialità delle minoranze? Essere/sentirsi minoranza è relativo al contesto d'appartenenza o è uno status universalmente riconosciuto? Quali sono le minoranze nella molteplicità dei contesti contemporanei?","Essere Minoranza"
"Quali azioni metodologiche dovremmo strutturare affinché l’immedesimazione possa garantire il successo di questo processo? Braidotti sostiene che dovremmo imparare a essere donna o a essere animale: questa discorsività può comprendere anche la materia?","Essere Minoranza"
"La materialità prodotta dai fenomeni performativi intra-attivi è ascrivibile alle minoranze, vista la chiara tendenza positivista-rappresentativa?","Essere Minoranza"
"Come trasformare questi rapporti relazionali? Da dove sorge la necessità di questo antagonismo? Le strutture politiche contemporanee sono sufficienti per gestire l’estrema complessità sociologica?","Essere Minoranza"
"Dovremmo definire nuovi schemi identitari? Quali sono gli aspetti metodologici critici dell’accademismo? Come possiamo trasformarli per migliorare le pratiche divulgative?","Reversibilità Metodologica"
"Possiamo avvalerci della stessa metodologia della divulgazione scritta/verbale in quella pratica/creativa? Questa reversibilità metodologica necessita di un’esplicitazione scritta che la renda universalmente intelligibile, o deve rifiutare anche questa configurazione normativa? L’eventuale scrittura o divulgazione verbale rischia di generare un sistema di regole che la ratio umana tenterà di staticizzare, o flessibilità e divenire possono “sopravvivere” a tale esplicitazione?","Reversibilità Metodologica"
"Come dovremmo incanalare eventuali scontri d'idee affinché non assumano forme oppositive? In che modo la strutturazione metodologica situata e collettiva dovrà costruirsi? Durante la proceduralità del progetto, o in modalità preventiva, riscrivibile in funzione di come il sistema diffrattivo concatenerà gli eventi procedurali?","Reversibilità Metodologica"
"Chi è umano? Chi è visibile? Chi è reale?","Rompere la normatività"
"È possibile strutturare una forma di sperimentazione artistica neo-materialista che, partendo da questi assetti, possa trasformare e riscrivere il metodo artistico convenzionale? Può “Compost” continuare l’opera di decostruzione e de-territorializzazione dell’arte?","Riscrivere la normatività artistica"
"Vogliamo generare una nuova frattura della norma artistica, ma in che modo potremmo e/o dovremmo costruirla?","Riscrivere la normatività artistica"
"È un paradigma istituzionale/curatoriale che si orienta attraverso selezione, gerarchia, autorialità e unicità? In questo quadro, le pratiche di networking possono operare una rottura trasformandolo in qualcosa che si co-costituisce proceduralmente attraverso connessioni relazionali?","Riscrivere la normatività artistica"
"Per attuare questa trasformazione bisogna riscrivere necessariamente la figura dell’artista “Solista”/“Genio” in quanto visione moderna, occidentale e patriarcale? La figura della (s)oggettività plurale e nomade – che racchiude una molteplicità in una singolarità – può decentrare la produzione inserendola come parte di un flusso materiale e affettivo/relazionale?","Riscrivere la normatività artistica"
"Considerate tutte queste analisi, com’è possibile che l’arte non si sia già completamente trasformata in una dimensione capace di accogliere tale pluralità ideologica, che nell’accademismo più recente sembra assumere una direzione precisa? Che ruolo e che peso ha la normatività in questo processo? Abbiamo effettivamente piegato troppo la produzione artistica alle dinamiche della convenzione normativa, che la vuole controllabile attraverso meccanismi di potere insiti nella dimensione capitalistica?","Riscrivere la normatività artistica"
"A seguito di questa analisi, possiamo dunque destrutturare i sistemi storici dell’arte? Le forme collettive e digitali agevolano il processo o lo inseriscono inevitabilmente in dinamiche capitalistiche? Un progetto come “Compost” crea effettivamente uno spazio poroso, simpoietico e impuro dove fare arte abbandonando e decostruendo le logiche antropocentriche?","Riscrivere la normatività artistica"
"Come immaginare uno spazio artistico-accademico capace di includere affettività, molteplicità e gesti di cura reciproca, oltre al mero riconoscimento della comunità artistica-accademica-scientifica?","Generare nuovi mondi per trovare nuove vie percorribili"
"Come rimodellare la struttura della saggistica accademica? Che forma dovrebbe assumere se ripensata dal titolo alla bibliografia, ridefinendo scelte formali?","Generare nuovi mondi per trovare nuove vie percorribili"
"In che modo le pratiche collaborative del networking possono ampliare la nozione di “mondo” che generiamo?","Generare nuovi mondi per trovare nuove vie percorribili"
"Come dovremmo rompere la crononormatività? E che forma assumerebbe la temporalità in eventuali nuovi mondi?","Generare nuovi mondi per trovare nuove vie percorribili"
"Possiamo costruire un nuovo mondo artistico fondato sugli hybrid commons, capace di generare mondi comunitari da condividere, in continua trasformazione, dove il senso risiede nei nessi e non negli oggetti?","Generare nuovi mondi per trovare nuove vie percorribili"
"Il metodo intra-attivo unito alla praxis può generare l’immaginazione di un nuovo mondo in cui questa struttura si trasformi in una forma monistica nomade in continuo mutamento, dove pratica e teoria non siano agenti separati ma co-emergenti nella relazione reciproca e con l’alterità?","Generare nuovi mondi per trovare nuove vie percorribili"
"Come possiamo dunque valorizzare l’atto documentativo nel progetto per trasformarlo in gestualità generatrice di relazioni, domande e contaminazioni inattese?","Il valore della documentazione per le pratiche discorsive"
"Come dovremmo impostare l’esplicitazione nel progetto “Compost”? Cosa è importante esplicitare, e in che modo la praxis intra-attiva o la documentazione possono aiutarci a rivelare le meccaniche implicite della relazionalità dell’entanglement?","Esplicitare l’implicito"
"Cosa intendiamo precisamente per ""accessibilità delle pratiche""?","Accessibilità delle pratiche"
"Quali modalità garantirebbero accessibilità pratica al progetto? La digitalizzazione può essere una strada percorribile per aumentare sia fruizione che intervento diretto?","Accessibilità delle pratiche"
"È possibile produrre divulgazione accademica attraverso schede di sintesi, glossari multimediali o micro-podcast come strumenti di diffusione orizzontale?","Accessibilità delle pratiche"
"Possiamo continuare il percorso di teorizzazione privandoci del sentire?","Accessibilità delle pratiche"
"Avremmo davvero potuto impostare un progetto fondato su riciclo, pensiero circolare, orizzontalità e contaminazione attraverso un’analisi teorica/speculativa individuale? Come inserire meccanismi di riciclo, contaminazione, ecc. nella componente teorica?","“Compost” come nuovo metodo di scrittura e lettura"
"E come integrare la pratica in un sistema di co-costituzione con la teoria? Preso atto di queste dinamiche, come legare indissolubilmente questi processi in un sistema intra-attivo?","“Compost” come nuovo metodo di scrittura e lettura"
"Possiamo quindi continuare a teorizzare privandoci del sentire?","“Compost” come nuovo metodo di scrittura e lettura"
"Abbiamo impostato l’accademismo sul fornire risposte, ma se questa direzione fosse errata?","“Compost” come nuovo metodo di scrittura e lettura"
"E se la via fosse interrogarsi senza pretesa di risposte individuali? Cosa sentiamo collettivamente?","Diventare “Compost”"
"Se non siamo più al centro, come si trasforma la nostra responsabilità epistemica?","Diventare “Compost”"
"Come documentare un sapere che ci attraversa senza ridurlo?","Diventare “Compost”"
"Se il sapere perde lo scopo produttivo, può ancora essere necessario?","Diventare “Compost”"
"Come creare una scrittura che rappresenti questo compostaggio?","Diventare “Compost”"
"Quali forme di sapere ignoriamo solo perché non parliamo la stessa “lingua”?","Diventare “Compost”"
"Come rendere leggibile questo processo a chi non condivide linguaggio e saperi?","Diventare “Compost”"
"Quali domande non ci stiamo ponendo? È possibile che siano proprio quelle a farci afferrare l’esistenza?","Diventare “Compost”"
"Come iniziare a non colonizzare i territori che attraversiamo, lasciando che siano essi ad “attraversarci”?","Ambiti di ricerca"
"Come pensare un sapere relazionale ma non dispersivo, situato senza chiudersi in formalità normative?","Ambiti di ricerca"
"Chi può produrre sapere? Se il sapere è sempre situato, attraversato da dispositivi di potere/esclusione, e la (s)oggettività epistemica occidentale nasce da un impianto storico-economico normalizzante, come ripensarla accogliendo le tre sfere descritte?","Sfera Pratica-Teorica e (S)oggettività Generante"
"Come potremmo apporre la parola ""fine"" a un processo che si è nutrito del rifiuto della chiusura, che ha eletto la circolarità a proprio metodo e la rigenerazione a proprio orizzonte? Come applicare un punto fermo a un pensiero e ad una azione che si vuole nomade, rizomatica e perennemente in divenire, una (s)oggettività che trova la sua coerenza non nella stasi ma nella trasformazione continua?","Fertilizzare il Futuro – Una Conclusione come Soglia"
"Cosa significa, allora, tradurre questo complesso pattern teorico in una praxis vivente? Cosa significa, concretamente, ""diventare compost"" nel mondo, al di là delle pagine di questa tesi?","Fertilizzare il Futuro – Una Conclusione come Soglia"
"Quali mondi stiamo portando all'esistenza con le nostre intra-azioni? E, domanda ancora più cruciale, quali corpi, quali saperi, quali temporalità stiamo escludendo o marginalizzando attraverso queste stesse scelte?","Fertilizzare il Futuro – Una Conclusione come Soglia"
"Se la materia è agente e il mondo emerge dalle relazioni, quali parentele inaspettate possiamo ancora generare per affrontare le sfide del presente? Quali saperi, quali intelligenze e quali forme di vita continuiamo a ignorare solo perché non parlano la nostra ""lingua""?","Fertilizzare il Futuro – Una Conclusione come Soglia"
"Come possiamo disimparare attivamente le nostre convinzioni più salde, le nostre abitudini percettive e le nostre certezze normative per fare spazio all'altro, all'imprevisto, al mostruoso? Come possiamo rendere la complessità di questo pensiero radicalmente accessibile, senza tradirlo o banalizzarlo? Come possiamo ""tradurre"" questi concetti in pratiche quotidiane di resistenza, di gioia e di cura? Se siamo tutti, come ci ricorda Fisher, inevitabilmente complici nel sistema planetario dell'oppressione, come possiamo trasformare la nostra colpa paralizzante in responsabilità generativa e la nostra impotenza individuale in azione collettiva situata?","Fertilizzare il Futuro – Una Conclusione come Soglia"